CODE,Sales_Date,Customer_ID,ID_Producto,PVP,FORMA_PAGO_ID,MOTIVO_VENTA_ID,TIENDA_ID,code_
ID1,29/03/2023,56928,PA100035,15717,1,2,102,ATIPO15FUEL 1M90CVC11
ID100,31/03/2022,15044,PA100038,14339,3,1,103,ATIPO15FUEL 1M90CVC43
ID10000,22/02/2023,31434,PB100105,20511,1,1,103,BTIPO15FUEL 2M109CVC43
ID10002,02/01/2022,72397,PB100105,20511,1,1,102,BTIPO15FUEL 2M109CVC43
ID10004,05/05/2022,36684,PB100105,20511,1,1,102,BTIPO15FUEL 2M109CVC43
ID10006,23/01/2018,1891,PB100102,19244,1,1,202,BTIPO15FUEL 2M109CVC34
ID10008,11/11/2021,98539,PB100103,19732,1,1,102,BTIPO15FUEL 2M109CVC35
ID1001,05/06/2022,55167,PA100018,17143,1,1,202,ATIPO15FUEL 1A90CVC11
ID10011,20/02/2023,77227,PB100103,19732,3,1,103,BTIPO15FUEL 2M109CVC35
ID10013,28/09/2022,78186,PB100105,20511,1,1,102,BTIPO15FUEL 2M109CVC43
ID10015,26/09/2022,22686,PB100105,20511,1,1,102,BTIPO15FUEL 2M109CVC43
ID10017,12/03/2023,94953,PB100103,19732,1,1,202,BTIPO15FUEL 2M109CVC35
ID10019,09/04/2023,42952,PB100099,18368,2,1,400,BTIPO15FUEL 2M109CVC23
ID10020,15/04/2021,49503,PB100099,18368,2,1,102,BTIPO15FUEL 2M109CVC23
ID10022,03/01/2023,20578,PB100105,20511,1,1,101,BTIPO15FUEL 2M109CVC43
ID10024,27/05/2018,68530,PB100105,20511,1,1,202,BTIPO15FUEL 2M109CVC43
ID10026,26/03/2021,25026,PB100099,18368,2,1,102,BTIPO15FUEL 2M109CVC23
ID10028,08/03/2019,92843,PB100099,18368,1,2,201,BTIPO15FUEL 2M109CVC23
ID1003,17/01/2023,54305,PA100019,16621,3,1,101,ATIPO15FUEL 1A90CVC44
ID10031,13/01/2022,13281,PB100069,19246,4,1,102,BTIPO15FUEL 1M105CVC4
ID10033,15/07/2018,39587,PB100069,19246,1,1,100,BTIPO15FUEL 1M105CVC4
ID10035,11/03/2021,61980,PB100069,19246,1,1,102,BTIPO15FUEL 1M105CVC4
ID10037,13/03/2022,88894,PB100069,19246,4,2,101,BTIPO15FUEL 1M105CVC4
ID10039,31/12/2021,25501,PB100069,19246,4,1,103,BTIPO15FUEL 1M105CVC4
ID10040,01/05/2022,58040,PB100069,19246,1,1,200,BTIPO15FUEL 1M105CVC4
ID10042,31/08/2022,17858,PB100069,19246,4,2,103,BTIPO15FUEL 1M105CVC4
ID10044,20/01/2018,2200,PB100069,19246,1,2,103,BTIPO15FUEL 1M105CVC4
ID10046,21/07/2022,63738,PB100069,19246,1,1,700,BTIPO15FUEL 1M105CVC4
ID10048,05/03/2023,20894,PB100069,19243,1,2,101,BTIPO15FUEL 1M105CVC4
ID1005,29/01/2019,5574,PA100018,17524,1,2,101,ATIPO15FUEL 1A90CVC11
ID10051,13/06/2022,23518,PB100069,19246,1,1,102,BTIPO15FUEL 1M105CVC4
ID10053,18/08/2022,1995,PB100069,19246,1,1,102,BTIPO15FUEL 1M105CVC4
ID10055,08/03/2023,41031,PB100069,19246,1,1,100,BTIPO15FUEL 1M105CVC4
ID10057,27/09/2022,87357,PB100069,19246,1,1,100,BTIPO15FUEL 1M105CVC4
ID10059,31/05/2023,94423,PB100069,19246,4,1,201,BTIPO15FUEL 1M105CVC4
ID10060,25/09/2021,56257,PB100069,19246,1,1,101,BTIPO15FUEL 1M105CVC4
ID10062,10/09/2023,17491,PB100069,19246,4,1,101,BTIPO15FUEL 1M105CVC4
ID10064,16/06/2019,27089,PB100069,19246,4,1,101,BTIPO15FUEL 1M105CVC4
ID10066,19/07/2023,18157,PB100069,19246,1,1,101,BTIPO15FUEL 1M105CVC4
ID10068,26/07/2019,69002,PB100069,19246,1,1,103,BTIPO15FUEL 1M105CVC4
ID1007,31/03/2021,81622,PA100019,16621,3,1,102,ATIPO15FUEL 1A90CVC44
ID10071,11/09/2018,64721,PB100069,19246,1,1,102,BTIPO15FUEL 1M105CVC4
ID10073,31/07/2023,52167,PB100069,19246,4,1,103,BTIPO15FUEL 1M105CVC4
ID10075,01/03/2019,71474,PB100069,19246,1,1,300,BTIPO15FUEL 1M105CVC4
ID10077,14/05/2023,14165,PB100069,18579,4,1,202,BTIPO15FUEL 1M105CVC4
ID10079,24/12/2018,20428,PB100069,19246,1,1,202,BTIPO15FUEL 1M105CVC4
ID10080,08/01/2022,33808,PB100069,19246,1,1,100,BTIPO15FUEL 1M105CVC4
ID10082,25/03/2019,73125,PB100069,18579,1,1,202,BTIPO15FUEL 1M105CVC4
ID10084,21/10/2019,78819,PB100069,19243,1,1,500,BTIPO15FUEL 1M105CVC4
ID10086,17/11/2023,46856,PB100069,19246,1,2,400,BTIPO15FUEL 1M105CVC4
ID10088,02/06/2019,49440,PB100069,19246,4,2,102,BTIPO15FUEL 1M105CVC4
ID1009,06/01/2023,7398,PA100018,17524,3,2,400,ATIPO15FUEL 1A90CVC11
ID10091,01/06/2022,32227,PB100069,19243,1,1,201,BTIPO15FUEL 1M105CVC4
ID10093,19/03/2018,65324,PB100069,19246,1,1,100,BTIPO15FUEL 1M105CVC4
ID10095,22/01/2019,15455,PB100069,19246,1,1,200,BTIPO15FUEL 1M105CVC4
ID10097,25/08/2019,71145,PB100069,19246,1,1,200,BTIPO15FUEL 1M105CVC4
ID10099,03/10/2021,21442,PB100069,19246,1,1,101,BTIPO15FUEL 1M105CVC4
ID1010,30/01/2019,59655,PA100018,17524,1,1,500,ATIPO15FUEL 1A90CVC11
ID10101,12/09/2019,54569,PB100069,19246,1,1,101,BTIPO15FUEL 1M105CVC4
ID10103,08/07/2023,42373,PB100069,19246,1,1,400,BTIPO15FUEL 1M105CVC4
ID10105,15/07/2022,24723,PB100069,19246,1,1,700,BTIPO15FUEL 1M105CVC4
ID10107,06/01/2023,80945,PB100069,19246,1,1,100,BTIPO15FUEL 1M105CVC4
ID10109,18/09/2019,23979,PB100069,18579,4,1,102,BTIPO15FUEL 1M105CVC4
ID10110,21/02/2019,21690,PB100069,19245,1,1,600,BTIPO15FUEL 1M105CVC4
ID10112,03/06/2021,66861,PB100069,19246,4,1,101,BTIPO15FUEL 1M105CVC4
ID10114,26/10/2022,26326,PB100069,19246,1,1,100,BTIPO15FUEL 1M105CVC4
ID10116,29/12/2022,30651,PB100069,19246,1,1,100,BTIPO15FUEL 1M105CVC4
ID10118,26/01/2019,9179,PB100069,19246,4,1,200,BTIPO15FUEL 1M105CVC4
ID1012,24/08/2021,91892,PA100018,17524,3,1,102,ATIPO15FUEL 1A90CVC11
